frame,count,count_total,ratio
1791,46,108,0.42592592592592593
844,72,169,0.4260355029585799
440,93,218,0.42660550458715596
1013,64,150,0.4266666666666667
292,108,253,0.4268774703557312
793,73,171,0.4269005847953216
652,79,185,0.42702702702702705
223,118,276,0.427536231884058
1127,62,145,0.42758620689655175
1125,62,145,0.42758620689655175
368,101,236,0.4279661016949153
762,75,175,0.42857142857142855
434,93,217,0.42857142857142855
1836,45,105,0.42857142857142855
304,108,252,0.42857142857142855
759,75,175,0.42857142857142855
490,88,205,0.4292682926829268
660,79,184,0.42934782608695654
868,73,170,0.4294117647058823
1015,64,149,0.42953020134228187
1512,49,114,0.4298245614035088
648,80,186,0.43010752688172044
175,127,295,0.43050847457627117
1766,47,109,0.43119266055045874
208,123,285,0.43157894736842106
585,83,192,0.4322916666666667
1118,64,148,0.43243243243243246
1735,48,111,0.43243243243243246
1896,42,97,0.4329896907216495
1307,55,127,0.4330708661417323
1647,49,113,0.4336283185840708
1826,46,106,0.4339622641509434
1847,46,106,0.4339622641509434
1399,53,122,0.4344262295081967
197,126,290,0.43448275862068964
899,73,168,0.43452380952380953
1498,50,115,0.43478260869565216
68,155,356,0.4353932584269663
1442,54,124,0.43548387096774194
1335,55,126,0.4365079365079365
1340,55,126,0.4365079365079365
1230,59,135,0.43703703703703706
524,87,199,0.4371859296482412
1703,49,112,0.4375
1727,49,112,0.4375
257,116,265,0.4377358490566038
148,132,301,0.43853820598006643
1873,43,98,0.4387755102040816
1957,43,98,0.4387755102040816
941,72,164,0.43902439024390244
136,134,305,0.43934426229508194
664,81,184,0.44021739130434784
1260,59,134,0.44029850746268656
329,107,243,0.4403292181069959
166,131,297,0.44107744107744107
164,132,299,0.4414715719063545
701,80,181,0.4419889502762431
437,96,217,0.4423963133640553
766,77,174,0.4425287356321839
1396,54,122,0.4426229508196721
1028,66,149,0.4429530201342282
1517,51,115,0.4434782608695652
284,114,257,0.44357976653696496
870,75,169,0.4437869822485207
1329,56,126,0.4444444444444444
1789,48,108,0.4444444444444444
380,102,229,0.44541484716157204
979,70,157,0.445859872611465
1099,66,148,0.44594594594594594
196,129,289,0.4463667820069204
407,100,224,0.44642857142857145
1627,51,114,0.4473684210526316
783,77,172,0.4476744186046512
1258,60,134,0.44776119402985076
609,86,192,0.4479166666666667
343,108,241,0.44813278008298757
1885,44,98,0.4489795918367347
